eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,hatch_date_dmy,season,date_egg_laid_dmy,Julian_lay,days_to_hatch,Julian_hatch_date,egg_mass,egg_length_mm,egg_width_mm,hatch_mass_orig,hatch_svl_orig_mm,hatch_tail_orig_mm,juv1_measure_date_dmy,juv1_measure_SVL_mm,juv1_measure_tail_mm,juv1_measure_mass_g,Liz_ID,juv2_measure_date_dmy,juv2_measure_SVL_mm,juv2_measure_tail_mm,juv2_measure_mass_g,person_juv2,Lizard_ID,liz_status_db,mortality_date_dmy,bd_totl_orig,notes_juv1,notes_juv2,notes_db
EG835_21,LD835_21,CL235_21,E011_M,delicata,CORT_28_10pg_Topical,28,high,10/2/2022,2021/22,10/1/2022,10,31,41,0.14,8.38,5.64,0.115,17,26,3/6/2022,28,38,0.353,LD835_21,10/8/2022,29,41,0.457,PR,LD835_21,ALIVE,NA,,,,
EG850_21,LD850_21,CL240_21,E029_F120,delicata,CORT_28_10pg_Topical,28,high,10/2/2022,2021/22,14/1/2022,14,27,41,0.141,7.68,5.86,0.076,14,19,3/6/2022,29.5,41,0.473,LD850_21,10/8/2022,32,44,0.65,PR,LD850_21,ALIVE,NA,,,,
EG843_21,LD843_21,CL237_21,E027_21,delicata,CORT_28_5pg_Topical,28,low,10/2/2022,2021/22,12/2/2022,43,NA,41,0.149,8.67,5.87,0.109,17,23,3/6/2022,32,44.5,0.572,LD843_21,10/8/2022,35,50,0.705,DCL,LD843_21,ALIVE,NA,accidently applied dlow dose when should have bene control,,,
EG808_21,LD808_21,CL229_21,E020_F120,delicata,C_28_Topical,28,control,11/2/2022,2021/22,10/1/2022,10,32,42,0.117,7.87,5.44,0.088,16,14,3/6/2022,31,31,0.446,LD808_21,10/8/2022,35,31,0.641,PR,LD808_21,ALIVE,NA,,tail has regrown; was lost at one point,,
EG834_21,LD834_21,CL235_21,E011_M,delicata,CORT_28_5pg_Topical,28,low,11/2/2022,2021/22,10/1/2022,10,32,42,0.136,8.57,5.54,0.107,18,23,3/6/2022,30,42.5,0.513,LD834_21,NA,NA,NA,NA,,LD834_21,ALIVE,NA,,,,
EG848_21,LD848_21,CL238_21,E031_M,delicata,C_28_Topical,28,control,11/2/2022,2021/22,12/2/2022,43,NA,42,0.18,8.67,6.41,0.136,18,27,3/6/2022,28,43,0.444,LD848_21,10/8/2022,29,44,0.533,PR,LD848_21,ALIVE,NA,,,,
EG842_21,LD842_21,CL237_21,E027_21,delicata,CORT_28_10pg_Topical,28,high,11/2/2022,2021/22,12/2/2022,43,NA,42,0.148,8.45,5.75,0.103,16,21,3/6/2022,29,36,0.441,LD842_21,10/8/2022,32,41,0.566,PR,LD842_21,ALIVE,NA,,tip of tail fell off during measuring,,
EG841_21,LD841_21,CL237_21,E027_21,delicata,CORT_28_5pg_Topical,28,low,11/2/2022,2021/22,12/2/2022,43,10,53,0.142,8.43,5.67,0.086,18,22,3/6/2022,29.5,41.5,0.416,LD841_21,10/8/2022,33,45,0.655,PR,LD841_21,ALIVE,NA,,tail has regrown,,
EG849_21,LD849_21,CL239_21,E011_M,delicata,CORT_28_5pg_Topical,28,low,11/2/2022,2021/22,12/2/2022,43,NA,42,0.184,8.91,6.32,0.118,18,25,3/6/2022,28,38.5,0.414,LD849_21,10/8/2022,31,41,0.585,PR,LD849_21,ALIVE,NA,,,,
EG832_21,LD832_21,CL234_21,E002_F120,delicata,C_28_Topical,28,control,13/2/2022,2021/22,10/1/2022,10,34,44,0.179,8.96,6.24,0.131,18,27,3/6/2022,29.5,42,0.393,LD832_21,NA,NA,NA,NA,,LD832_21,ALIVE,NA,,,,
