eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,mortality_db,liz_status_db,hatch_date_ymd,mortality_date_dmy,season,date_egg_laid_.day.m.year..,Julian_lay,days_to_hatch,Julian_hatch_date,Julian_remeasured,days_posthatch,egg_mass,egg_length_mm,egg_width_mm,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,remeasure_date,remeasure_SVL,remeasure_tail,remeasure_mass,re_measure_notes,bd_liz_id.1,measure_date_juv2,measure_SVL_juv2,measure_tail_juv2,measure_mass_juv2,measure_notes_juv2,person_juv2,notes_juv2,notes_db
EG763_21,LD763_21,CL218_21,E025_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/04,,2021/22,5/1/22,5,30,35,154,119,0.151,8.91,5.83,0.12,16,27,,3/6/22,3.3,5.2,0.621,,LD763_21,,NA,NA,NA,,,,
EG771_21,LD771_21,CL219_21,E004_F120,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/03,,2021/22,5/1/22,5,29,34,154,120,0.19,8.45,6.67,0.121,18,26,,3/6/22,3.2,4.5,0.524,,LD771_21,10/8/22,3.5,5.6,0.756,,DCL,,
EG774_21,LD774_21,CL220_21,E019_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/03,,2021/22,5/1/22,5,29,34,154,120,0.158,8.27,6.17,0.112,17,22,,3/6/22,2.77,3.8,0.406,,LD774_21,10/8/22,2.9,4,0.488,,DCL,,
EG762_21,LD762_21,CL218_21,E025_M,delicata,CORT_28_5pg_Topical,28,low,0,DEAD,22/2/03,4/2/22,2021/22,5/1/22,5,29,34,154,120,0.156,8.92,5.78,0.122,18,24,,,NA,NA,NA,,LD762_21,,NA,NA,NA,,,died after hatching; 4/2/22,died after hatching; 4/2/22
EG772_21,LD772_21,CL219_21,E004_F120,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/04,,2021/22,5/1/22,5,30,35,154,119,0.174,8.85,6.07,0.098,19,24,,3/6/22,3.4,4.25,0.649,,LD772_21,10/8/22,4,5.1,1.013,,DCL,,
EG781_21,LD781_21,CL221_21,E018_M,delicata,C_23_Topical,23,control,0,ALIVE,22/2/27,2/6/22,2021/22,7/1/22,7,51,58,154,96,0.126,8.09,5.55,0.116,19,26,,,NA,NA,NA,,LD781_21,,NA,NA,NA,,,,died after hatching; 02/06/22
EG788_21,LD788_21,CL223_21,E022_F120,delicata,C_23_Topical,23,control,0,DEAD,22/2/27,3/6/22,2021/22,7/1/22,7,51,58,154,96,0.153,8.49,6.01,0.122,18,26,,,NA,NA,NA,dead,LD788_21,,NA,NA,NA,,,,hatchling found dead 3/06/22
EG784_21,LD784_21,CL221_21,E018_M,delicata,C_28_Topical,28,control,1,ALIVE,22/2/06,,2021/22,7/1/22,7,30,37,154,117,0.134,7.99,5.62,0.135,18,27,,3/6/22,2.95,4.45,0.525,,LD784_21,10/8/22,3.6,6.1,0.719,,DCL,,
EG785_21,LD785_21,CL222_21,E031_M,delicata,C_28_Topical,28,control,1,ALIVE,22/2/07,,2021/22,7/1/22,7,31,38,154,116,0.166,8.57,6.04,0.153,18,27,,3/6/22,3.05,4.2,0.565,,LD785_21,10/8/22,3.3,5.1,0.726,dropped tail tip after measurment,DCL,,
EG800_21,LD800_21,CL227_21,E009_M,delicata,C_28_Topical,28,control,1,ALIVE,22/2/06,,2021/22,7/1/22,7,30,37,154,117,0.157,8.32,5.98,0.136,18,25,,3/6/22,3.2,4.4,0.524,,LD800_21,10/8/22,3.5,5.5,0.682,,DCL,,
EG791_21,LD791_21,CL224_21,E019_F120,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/2/23,,2021/22,7/1/22,7,47,54,154,100,0.143,8.5,5.79,0.125,17,23,,3/6/22,3,4.4,0.477,,LD791_21,10/8/22,3.5,5.3,0.825,,PR,,
EG794_21,LD794_21,CL225_21,E030_M,delicata,CORT_23_10pg_Topical,23,high,0,DEAD,22/2/27,30/5/22,2021/22,7/1/22,7,51,58,154,96,0.163,7.92,6.27,0.127,17,23,,,NA,NA,NA,,LD794_21,,NA,NA,NA,,,,hatchling died 30/05/2022
EG796_21,LD796_21,CL226_21,E030_M,delicata,CORT_23_10pg_Topical,23,high,0,DEAD,22/2/27,3/6/22,2021/22,7/1/22,7,51,58,154,96,0.137,7.42,6.04,0.106,18,23,,,NA,NA,NA,dead,LD796_21,,NA,NA,NA,,,,hatchling found dead 3/06/22
EG779_21,LD779_21,CL221_21,E018_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/27,,2021/22,7/1/22,7,51,58,154,96,0.145,7.83,5.92,0.127,18,27,,3/6/22,2.55,3.4,0.318,,LD779_21,,NA,NA,NA,,,,
EG790_21,LD790_21,CL223_21,E022_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/27,,2021/22,7/1/22,7,51,58,154,96,0.138,8.02,5.54,0.11,18,25,,,2.9,4.8,0.454,,LD790_21,10/8/22,2.9,4.7,0.403,,PR,,
EG793_21,LD793_21,CL224_21,E019_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/24,,2021/22,7/1/22,7,48,55,154,99,0.129,8.32,5.47,0.104,17,24,,3/6/22,2.95,4.45,0.467,,LD793_21,10/8/22,3.2,5,0.68,,PR,,
