Egg_ID,bd_liz_id,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,notes,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,albumin,
EG042,LD611,NA,,NA,CL022,E7,NA,,delicata,C-23,0,MISSING,2019/20,,19/11/24,20/1/13,,0.104,8.5,4.3,NA,20/1/13,0.1,17.286,23.601,40.887,Re-did length photograph on 15.01.20 (wasn't done properly first time); Missing on  (11/3/20),NA,NA,NA,NA,NA,NA,0,
EG055,NA,NA,,NA,CL026,E6,NA,,delicata,C-23,1,NA,2019/20,,19/11/24,NA,,0.115,8.13,4.78,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG088,NA,NA,,NA,CL37,E13,NA,,delicata,C-23,1,NA,2019/20,,19/11/27,NA,,0.118,8.21,5.18,NA,NA,NA,NA,NA,NA,most likely multiple clutches but all eggs laid close together,NA,NA,NA,NA,NA,NA,0,
EG169,LD632,"""4215""",Box 1.21,f,CL64,E59,NA,,delicata,C-28,0,ALIVE,2019/20,,20/1/09,20/2/07,,0.184,8.97,6.35,NA,20/2/07,NA,NA,NA,NA,NOT PART OF THE EXPERIMENT-was left outside the incubators for 5 days after being processed. Mass at birth was 0.124,NA,NA,NA,NA,NA,NA,0,
EG176,LD631,"""30(34)0""",Box 1.21,m,CL66,E59,E019_M,E019_M,delicata,C-28,0,ALIVE,2019/20,,20/1/09,20/2/06,,0.13,8.22,5.4,NA,20/2/06,0.116,18.366,23.777,42.143,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG167,LD630,"""3411""",Box 1.21,f,CL64,E59,E011_M,E011_M/E024_M,delicata,A-28,0,ALIVE,2019/20,,20/1/09,20/2/05,,0.177,8.97,5.71,0.144,20/2/05,0.1,17.029,22.362,39.391,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG178,LD629,"""422(345)""",Box 1.21,f,CL67,E50,E010_M,E010_M,delicata,A-28,0,ALIVE,2019/20,,20/1/15,20/2/05,,0.142,7.84,5.71,0.123,20/2/05,0.1,18.029,22.137,40.166,,NA,NA,NA,NA,NA,NA,0,
EG179,LD628,"""2345""",Box 1.21,f,CL67,E50,E009_M,E009_M,delicata,A-28,0,ALIVE,2019/20,,20/1/15,20/2/05,,0.187,8.18,6.54,0.17,20/2/05,0.113,17.159,23.111,40.27,,NA,NA,NA,NA,NA,NA,0,
EG148,LD627,"""232(34)""",Box 1.21,f,CL55,E14,E018_M,E018_M,delicata,C-23,0,ALIVE,2019/20,,19/12/12,20/1/28,,0.136,7.68,5.67,NA,20/1/28,0.09,16.371,23.336,39.707,,NA,NA,NA,NA,NA,NA,0,
EG145,LD626,"""3224""",Box 1.21,f,CL55,E14,E008_M,E018_M,delicata,A-23,0,ALIVE,2019/20,,19/12/12,20/1/26,,0.145,7.78,5.66,0.115,20/1/26,0.078,16.958,20.306,20.306,Length data is from DSCN8991_LD625 on the 26.1.20. ,NA,NA,NA,NA,NA,NA,0,
