egg_id,Sample ID,clutch,enclosure,date_treated,egg_length,egg_width,egg_mass_mg,yolk_mass_mg,Plate,CV,raw_CORT(pg/ml),raw_CORT(ng/ml),yolk_concentration(mg/ul),yolk_concentration(mg/ml),mass_corrected_CORT(pg/mg),treatment,dilution,finalCORT(pg/mg),set,LogCORT,Comments
EG944_21,50,CL261_21,E030_M,14/2/2022,7.02,5.35,133.593,48.036,2,6.7,863.858,0.863858,0.08006,80.06,10.7901324,CORT_10pg_Topical,4,43.1605296,1,1.635086765,
EG968,65,CL266_21,E007_F120,15/2/2022,7.46,6.08,157.675,52.364,4,2.8,4863.74,4.86374,0.087273333,87.27333333,55.72996715,C_Topical,2,111.4599343,1,2.047118783,
EG965,66,CL266_21,E007_F120,15/2/2022,7.97,6.22,167.604,46.224,4,2.5,3731.707,3.731707,0.07704,77.04,48.43856438,C_Topical,2,96.87712876,1,1.986221259,
EG960,68,CL264_21,E030_F120,15/2/2022,8.84,6.6,200.142,51.251,4,1.5,3377.64,3.37764,0.085418333,85.41833333,39.54233088,C_Topical,2,79.08466176,1,1.898092262,
EG961,69,CL264_21,E030_F120,15/2/2022,8.92,6.1,180.627,55.895,4,6.5,4464.068,4.464068,0.093158333,93.15833333,47.9191484,CORT_5pg_Topical,2,95.83829681,1,1.981539087,
EG962,70,CL265_21,E009_M,15/2/2022,7.7,6.23,136.779,36.987,4,2.3,2631.091,2.631091,0.061645,61.645,42.68133669,C_Topical,2,85.36267337,1,1.931268008,
EG963,71,CL265_21,E009_M,15/2/2022,7.88,5.89,125.823,40.529,4,0.4,4259.51,4.25951,0.067548333,67.54833333,63.05869871,CORT_10pg_Topical,8,504.4695897,1,2.702834991,assay notes indicate sample was re-assayed at 1:8
EG964,72,CL265_21,E009_M,15/2/2022,7.63,6.15,165.165,45.525,4,4.1,5234.223,5.234223,0.075875,75.875,68.98481713,CORT_5pg_Topical,2,137.9696343,1,2.139783513,
EG966,73,CL266_21,E007_F120,15/2/2022,8.1,6.27,170.67,39.336,4,0.1,2408.74,2.40874,0.06556,65.56,36.74100061,CORT_10pg_Topical,8,293.9280049,1,2.468240967,assay notes indicate sample was re-assayed at 1:8
EG967,74,CL266_21,E007_F120,15/2/2022,7.68,6.18,173.157,48.55,2,4.7,2162.216,2.162216,0.080916667,80.91666667,26.72151596,CORT_5pg_Topical,2,53.44303193,1,1.727891089,
EG970,75,CL266_21,E007_F120,15/2/2022,7.87,5.92,142.083,52.423,2,1.1,2407.291,2.407291,0.087371667,87.37166667,27.55230719,CORT_5pg_Topical,2,55.10461439,1,1.741187968,
EG971,76,CL267_21,E026_M,15/2/2022,8.22,5.05,132.394,54.502,3,1,1156.864,1.156864,0.090836667,90.83666667,12.73565007,C_Topical,2,25.47130014,1,1.406051113,
EG972,77,CL267_21,E026_M,15/2/2022,8.14,5.12,150.556,56.987,3,2.8,492.584,0.492584,0.094978333,94.97833333,5.186277572,CORT_10pg_Topical,4,20.74511029,1,1.316915748,
EG973,78,CL267_21,E026_M,15/2/2022,8.27,5.03,153.339,43.512,3,1.2,1095.85,1.09585,0.07252,72.52,15.11100386,CORT_5pg_Topical,2,30.22200772,1,1.480323312,
EG974,79,CL267_21,E026_M,15/2/2022,8.73,5.51,139.58,55.7,3,4,1751.401,1.751401,0.092833333,92.83333333,18.86607899,C_Topical,2,37.73215799,1,1.576711644,
EG975,80,CL267_21,E026_M,15/2/2022,8.1,5.41,152.296,42.163,3,1.3,2429.98,2.42998,0.070271667,70.27166667,34.57979745,CORT_10pg_Topical,4,138.3191898,1,2.140882436,
